,timestamp,y
0,1493718714,0
1,1493720697,0
2,1493721027,0
3,1493721357,0
4,1493721686,0
5,1493722016,0
6,1493722345,0
7,1493722674,0
8,1493723003,0
9,1493724832,0
10,1493725160,0
11,1493725474,0
12,1493725804,0
13,1493727636,0
14,1493729467,0
15,1493731296,0
16,1493733371,0
17,1493735217,0
18,1493737046,0
19,1493738847,0
20,1493740845,1
21,1493742871,1
22,1493744843,1
23,1493746883,1
24,1493748731,0
25,1493750580,0
26,1493752430,0
27,1493754265,0
28,1493756113,0
29,1493757960,1
30,1493759807,1
31,1493761652,1
32,1493763497,1
33,1493765341,1
34,1493767186,1
35,1493769031,1
36,1493770877,1
37,1493772722,1
38,1493774569,0
39,1493776416,0
40,1493778262,0
41,1493780109,0
42,1493781957,0
43,1493783788,0
44,1493785620,0
45,1493787453,0
46,1493789284,0
47,1493791117,0
48,1493792948,0
49,1493794779,0
50,1493796610,0
51,1493798439,0
52,1493800387,0
53,1493802438,0
54,1493804253,0
55,1493806084,0
56,1493807899,0
